Id;N° du binôme;Lieu;Jour;Conditions ;Valeur minimale;Valeur moyenne;Valeur maximale
9001;1;La cour des premières près des arbres;Lundi;Récréation du matin;25;27;30
9002;1;La cour des premières près des arbres;Lundi;Récréation de l'après-midi;44;61;88
9003;1;La cour des premières près des arbres;Mardi;Récréation du matin;43;60;78
9004;1;La cour des premières près des arbres;Mardi;Récréation de l'après-midi;41;60;76
9005;1;La cour des premières près des arbres;Mercredi;Récréation du matin;47;61;88
9006;1;La cour des premières près des arbres;Mercredi;Récréation de l'après-midi;43;62;76
9007;1;La cour des premières près des arbres;Jeudi;Récréation du matin;43;59;74
9008;1;La cour des premières près des arbres;Jeudi;Récréation de l'après-midi;40;59;78
9009;1;La cour des premières près des arbres;Vendredi;Récréation du matin;46;62;79
9010;1;La cour des premières près des arbres;Vendredi;Récréation de l'après-midi;43;70;81
9011;2;La cour des premières près des casiers;Lundi;Récréation du matin;81;95;142
9012;2;La cour des premières près des casiers;Lundi;Récréation de l'après-midi;39;50;61
9013;2;La cour des premières près des casiers;Mardi;Récréation du matin;43;55;88
9014;2;La cour des premières près des casiers;Mardi;Récréation de l'après-midi;40;53;70
9015;2;La cour des premières près des casiers;Mercredi;Récréation du matin;42;54;72
9016;2;La cour des premières près des casiers;Mercredi;Récréation de l'après-midi;45;61;85
9017;2;La cour des premières près des casiers;Jeudi;Récréation du matin;52;89;107
9018;2;La cour des premières près des casiers;Jeudi;Récréation de l'après-midi;39;52;69
9019;2;La cour des premières près des casiers;Vendredi;Récréation du matin;66;91;136
9020;2;La cour des premières près des casiers;Vendredi;Récréation de l'après-midi;47;60;80
9021;3;"L'espace ""fumeurs""";Lundi;Récréation du matin;;;
9022;3;"L'espace ""fumeurs""";Lundi;Récréation de l'après-midi;;;
9023;3;"L'espace ""fumeurs""";Mardi;Récréation du matin;;;
9024;3;"L'espace ""fumeurs""";Mardi;Récréation de l'après-midi;;;
9025;3;"L'espace ""fumeurs""";Mercredi;Récréation du matin;;;
9026;3;"L'espace ""fumeurs""";Mercredi;Récréation de l'après-midi;;;
9027;3;"L'espace ""fumeurs""";Jeudi;Récréation du matin;;;
