Id;N° du binôme;Lieu;Jour;Conditions ;Valeur minimale;Valeur moyenne;Valeur maximale
8001;1;La cour des premières près des arbres;Lundi;Récréation du matin;49;62;95
8002;1;La cour des premières près des arbres;Lundi;Récréation de l'après-midi;49;61;80
8003;1;La cour des premières près des arbres;Mardi;Récréation du matin;46;59;75
8004;1;La cour des premières près des arbres;Mardi;Récréation de l'après-midi;48;59;73
8005;1;La cour des premières près des arbres;Mercredi;Récréation du matin;42;56;78
8006;1;La cour des premières près des arbres;Mercredi;Récréation de l'après-midi;45;58;73
8007;1;La cour des premières près des arbres;Jeudi;Récréation du matin;42;56;72
8008;1;La cour des premières près des arbres;Jeudi;Récréation de l'après-midi;43;57;85
8009;1;La cour des premières près des arbres;Vendredi;Récréation du matin;46;64;83
8010;1;La cour des premières près des arbres;Vendredi;Récréation de l'après-midi;47;72;97
8011;2;La cour des premières près des casiers;Lundi;Récréation du matin;72;77;79
8012;2;La cour des premières près des casiers;Mercredi;Récréation du matin;74;78;82
8013;2;La cour des premières près des casiers;Jeudi;Récréation du matin;80;84;87
8014;2;La cour des premières près des casiers;Vendredi;Récréation du matin;74;77;83
8015;2;La cour des premières près des casiers;Mercredi;Récréation de l'après-midi;79;82;89
8016;2;;;;;;
8017;2;;;;;;
8018;2;;;;;;
8019;2;;;;;;
8020;2;;;;;;
8021;3;"L'espace ""fumeurs""";Lundi;Récréation du matin;39;52;100
8022;3;"L'espace ""fumeurs""";Lundi;Récréation de l'après-midi;36;47;89
8023;3;"L'espace ""fumeurs""";Mardi;Récréation du matin;38;53;78
8024;3;"L'espace ""fumeurs""";Mardi;Récréation de l'après-midi;39;52;84
8025;3;"L'espace ""fumeurs""";Mercredi;Récréation du matin;39;53;85
8026;3;"L'espace ""fumeurs""";Mercredi;Récréation de l'après-midi;44;60;72
8027;3;"L'espace ""fumeurs""";Jeudi;Récréation du matin;40;58;85
8028;3;"L'espace ""fumeurs""";Jeudi;Récréation de l'après-midi;42;54;81
8029;3;"L'espace ""fumeurs""";Vendredi;Récréation du matin;40;49;68
8030;3;"L'espace ""fumeurs""";Vendredi;Récréation de l'après-midi;42;51;75
8031;4;Les toilettes des premières;Mardi;Récréation du matin;40;55;83
