Id;N° du binôme;Lieu;Jour;Conditions ;Valeur minimale;Valeur moyenne;Valeur maximale
4001;1;La cour des premières près des arbres;Lundi;Récréation du matin;45;61;81
4002;1;La cour des premières près des arbres;Lundi;Récréation du matin;40;64;80
4003;1;La cour des premières près des arbres;Lundi;Récréation du matin;47;66;105
4004;1;La cour des premières près des arbres;Lundi;Récréation du matin;46;66;92
4005;1;La cour des premières près des arbres;Lundi;Récréation du matin;50;71;90
4006;1;La cour des premières près des arbres;Lundi;Récréation du matin;48;68;88
4007;1;La cour des premières près des arbres;Lundi;Récréation de l'après-midi;47;65;108
4008;1;La cour des premières près des arbres;Lundi;Récréation de l'après-midi;50;69;91
4009;1;La cour des premières près des arbres;Lundi;Récréation de l'après-midi;53;76;96
4010;1;La cour des premières près des arbres;Lundi;Récréation de l'après-midi;51;73;95
4011;2;La cour des premières près des casiers;Lundi;Récréation du matin;48;71;91
4012;2;La cour des premières près des casiers;Lundi;Récréation de l'après-midi;52;73;88
4013;2;La cour des premières près des casiers;Mardi;Récréation du matin;57;76;95
4014;2;La cour des premières près des casiers;Mardi;Récréation de l'après-midi;43;69;82
4015;2;La cour des premières près des casiers;Mercredi;Récréation du matin;59;74;93
4016;2;La cour des premières près des casiers;Mercredi;Récréation de l'après-midi;39;70;81
4017;2;La cour des premières près des casiers;Jeudi;Récréation du matin;54;66;75
4018;2;La cour des premières près des casiers;Jeudi;Récréation de l'après-midi;57;72;86
4019;2;La cour des premières près des casiers;Vendredi;Récréation du matin;48;71;91
4020;2;La cour des premières près des casiers;Vendredi;Récréation de l'après-midi;54;76;87
4021;3;"L'espace ""fumeurs""";Lundi;Récréation du matin;44;66;92
4022;3;"L'espace ""fumeurs""";Lundi;Récréation de l'après-midi;45;66;89
4023;3;"L'espace ""fumeurs""";Mardi;Récréation du matin;44;66;90
4024;3;"L'espace ""fumeurs""";Mardi;Récréation de l'après-midi;42;64;87
4025;3;"L'espace ""fumeurs""";Mercredi;Récréation du matin;41;64;85
4026;3;"L'espace ""fumeurs""";Mercredi;Récréation de l'après-midi;44;66;89
4027;3;"L'espace ""fumeurs""";Jeudi;Récréation du matin;45;66;90
4028;3;"L'espace ""fumeurs""";Jeudi;Récréation de l'après-midi;41;64;86
4029;3;"L'espace ""fumeurs""";Vendredi;Récréation du matin;45;67;93
4030;3;"L'espace ""fumeurs""";Vendredi;Récréation de l'après-midi;42;65;88
4031;4;Les toilettes des premières;Lundi;Récréation du matin;84;95;109
4032;4;Les toilettes des premières;Lundi;Récréation de l'après-midi;51;58;67
4033;4;Les toilettes des premières;Mardi;Récréation du matin;72;82;94
4034;4;Les toilettes des premières;Mardi;Récréation de l'après-midi;67;70;75
4035;4;Les toilettes des premières;Mercredi;Récréation du matin;73;85;105
4036;4;Les toilettes des premières;Mercredi;Récréation de l'après-midi;78;92;107
4037;4;Les toilettes des premières;Jeudi;Récréation du matin;69;78;88
4038;4;Les toilettes des premières;Jeudi;Récréation de l'après-midi;72;78;95
4039;4;Les toilettes des premières;Vendredi;Récréation du matin;74;82;102
4040;4;Les toilettes des premières;Vendredi;Récréation de l'après-midi;76;85;104
4041;5;Un couloir du batiment 1ères;Lundi;Lors de la sonnerie ;50;72;99
4042;5;Un couloir du batiment 1ères;Lundi;Après la  sonnerie ;45;69;105
4043;5;Un couloir du batiment 1ères;Mardi;Lors de la sonnerie ;61;73;87
4044;5;Un couloir du batiment 1ères;Mardi;Après la  sonnerie ;57;80;95
4045;5;Un couloir du batiment 1ères;Mercredi;Lors de la sonnerie ;41;63;79
4046;5;Un couloir du batiment 1ères;Mercredi;Après la  sonnerie ;49;73;99
4047;5;Un couloir du batiment 1ères;Jeudi;Lors de la sonnerie ;58;71;93
4048;5;Un couloir du batiment 1ères;Jeudi;Après la  sonnerie ;52;69;86
4049;5;Un couloir du batiment 1ères;Vendredi;Lors de la sonnerie ;62;74;98
4050;5;Un couloir du batiment 1ères;Vendredi;Après la  sonnerie ;51;68;85
4051;6;Un couloir du batiment 2ndes;Lundi;Après la  sonnerie ;35;62;79
4052;6;Un couloir du batiment 2ndes;Lundi;Lors de la sonnerie ;45;60;80
4053;6;Un couloir du batiment 2ndes;Mardi;Après la  sonnerie ;37;52;70
4054;6;Un couloir du batiment 2ndes;Mardi;Lors de la sonnerie ;44;79;97
4055;6;Un couloir du batiment 2ndes;Mercredi;Lors de la sonnerie ;42;67;92
4056;6;Un couloir du batiment 2ndes;Mercredi;Après la  sonnerie ;28;46;68
4057;6;Un couloir du batiment 2ndes;Jeudi;Lors de la sonnerie ;50;69;100
4058;6;Un couloir du batiment 2ndes;Jeudi;Après la  sonnerie ;29;50;75
4059;6;Un couloir du batiment 2ndes;Vendredi;Après la  sonnerie ;35;65;78
4060;6;Un couloir du batiment 2ndes;Vendredi;Lors de la sonnerie ;45;66;104
4061;7;Un couloir du batiment terminales;Lundi;Après la  sonnerie ;47;70;81
4062;7;Un couloir du batiment terminales;Lundi;Après la  sonnerie ;43;72;90
4063;7;Un couloir du batiment terminales;Mardi;Après la  sonnerie ;55;67;76
4064;7;Un couloir du batiment terminales;Mercredi;Après la  sonnerie ;53;76;84
4065;7;Un couloir du batiment terminales;Jeudi;Après la  sonnerie ;56;70;86
4066;7;Un couloir du batiment terminales;Jeudi;Après la  sonnerie ;61;71;79
4067;7;Un couloir du batiment terminales;Jeudi;Lors de la sonnerie ;46;59;66
4068;7;Un couloir du batiment terminales;Vendredi;Après la  sonnerie ;49;68;76
4069;7;Un couloir du batiment terminales;Vendredi;Après la  sonnerie ;67;79;87
4070;7;Un couloir du batiment terminales;Vendredi;Après la  sonnerie ;63;71;84
4071;8;Le foyer;Mardi;pause méridienne;40;64;76
4072;8;Le foyer;Lundi;pause méridienne;45;62;81
4073;8;Le foyer;Jeudi;Récréation de l'après-midi;36;54;70
4074;8;Le foyer;Mardi;pause méridienne;42;61;78
4075;8;Le foyer;Vendredi;pause méridienne;49;63;74
4076;8;Le foyer;Vendredi;Récréation de l'après-midi;34;52;68
4077;8;Le foyer;Mardi;pause méridienne;47;65;77
4078;8;Le foyer;Mercredi;pause méridienne;43;59;83
4079;8;Le foyer;Mercredi;Récréation de l'après-midi;40;53;69
4080;8;Le foyer;Jeudi;pause méridienne;48;63;80
4081;9;Le CDI;Lundi;Récréation du matin;21;35;63
4082;9;Le CDI;Lundi;Récréation de l'après-midi;38;50;67
4083;9;Le CDI;Mardi;Récréation du matin;38;52;72
4084;9;Le CDI;Mardi;Récréation de l'après-midi;30;49;64
4085;9;Le CDI;Mercredi;Récréation du matin;29;50;71
4086;9;Le CDI;Mercredi;pause méridienne;23;37;80
4087;9;Le CDI;Jeudi;Récréation de l'après-midi;24;38;60
4088;9;Le CDI;Jeudi;pause méridienne;26;41;65
4089;9;Le CDI;Vendredi;pause méridienne;37;52;91
4090;9;Le CDI;Vendredi;pause méridienne;28;57;110
4091;10;Une salle de cours;Lundi;cours type magistral;29;48;77
4092;10;Une salle de cours;Lundi;cours type magistral;40;58;80
4093;10;Une salle de cours;Mardi;cours type magistral;35;45;64
4094;10;Une salle de cours;Mardi;cours type magistral;37;50;71
4095;10;Une salle de cours;Mercredi;cours type magistral;31;49;67
4096;10;Une salle de cours;Mercredi;cours type magistral;32;47;77
4097;10;Une salle de cours;Jeudi;cours type magistral;27;43;63
4098;10;Une salle de cours;Jeudi;cours type magistral;27;47;66
4099;10;Une salle de cours;Vendredi;cours en travail de groupe;36;53;75
4100;10;Une salle de cours;Vendredi;cours type magistral;37;54;85
4101;11;"Dans la file d'attente pour la restauration ""Aquarium""";Lundi;pause méridienne;58;61;63
4102;11;"Dans la file d'attente pour la restauration ""Aquarium""";Lundi;pause méridienne;59;62;67
4103;11;"Dans la file d'attente pour la restauration ""Aquarium""";Mardi;pause méridienne;60;63;66
4104;11;"Dans la file d'attente pour la restauration ""Aquarium""";Mardi;pause méridienne;60;64;67
4105;11;"Dans la file d'attente pour la restauration ""Aquarium""";Mercredi;pause méridienne;58;63;66
4106;11;"Dans la file d'attente pour la restauration ""Aquarium""";Mercredi;pause méridienne;56;61;64
4107;11;"Dans la file d'attente pour la restauration ""Aquarium""";Jeudi;pause méridienne;62;66;70
4108;11;"Dans la file d'attente pour la restauration ""Aquarium""";Jeudi;pause méridienne;60;64;67
4109;11;"Dans la file d'attente pour la restauration ""Aquarium""";Vendredi;pause méridienne;62;64;66
4110;11;"Dans la file d'attente pour la restauration ""Aquarium""";Vendredi;pause méridienne;63;65;68
4111;12;Le réfectoire des élèves;Lundi;pause méridienne;57;75;85
4112;12;Le réfectoire des élèves;Mardi;pause méridienne;33;71;86
4113;12;Le réfectoire des élèves;Mercredi;pause méridienne;51;74;85
4114;12;Le réfectoire des élèves;Jeudi;pause méridienne;54;74;83
4115;12;Le réfectoire des élèves;Vendredi;pause méridienne;47;73;86
4116;12;;;;;;
4117;12;;;;;;
4118;12;;;;;;
4119;12;;;;;;
4120;12;;;;;;
4121;13;Le complexe sportif;Vendredi;;39;60;104
4122;13;Le complexe sportif;Vendredi;;28;60;92
4123;13;Le complexe sportif;Vendredi;;48;61;85
4124;13;Le complexe sportif;Vendredi;;39;58;84
4125;13;Le complexe sportif;Vendredi;;44;59;78
4126;13;Le complexe sportif;Vendredi;;40;57;70
4127;13;Le complexe sportif;Vendredi;;47;62;80
4128;13;Le complexe sportif;Vendredi;;52;69;106
4129;13;Le complexe sportif;Vendredi;;45;65;90
4130;13;Le complexe sportif;Vendredi;;28;66;108
