Id;N° du binôme;Lieu;Jour;Conditions ;Valeur minimale;Valeur moyenne;Valeur maximale
7001;1;La cour des premières près des arbres;Lundi;Récréation du matin;47;60;79
7002;1;La cour des premières près des arbres;Lundi;Récréation de l'après-midi;39;46;77
7003;1;La cour des premières près des arbres;Mardi;Récréation du matin;48;63;81
7004;1;La cour des premières près des arbres;Mardi;Récréation de l'après-midi;40;53;80
7005;1;La cour des premières près des arbres;Mercredi;Récréation du matin;42;57;83
7006;1;La cour des premières près des arbres;Mercredi;Récréation de l'après-midi;43;58;82
7007;1;La cour des premières près des arbres;Jeudi;Récréation du matin;45;59;86
7008;1;La cour des premières près des arbres;Jeudi;Récréation de l'après-midi;38;48;76
7009;1;La cour des premières près des arbres;Vendredi;Récréation du matin;42;57;79
7010;1;La cour des premières près des arbres;Vendredi;Récréation de l'après-midi;38;45;83
7011;2;La cour des premières près des casiers;Lundi;Récréation du matin;46;60;91
7012;2;La cour des premières près des casiers;Lundi;Récréation de l'après-midi;42;59;87
7013;2;La cour des premières près des casiers;Mardi;Récréation du matin;39;53;73
7014;2;La cour des premières près des casiers;Mardi;Récréation de l'après-midi;48;53;58
7015;2;La cour des premières près des casiers;Mercredi;Récréation du matin;45;61;77
7016;2;La cour des premières près des casiers;Mercredi;Récréation de l'après-midi;48;57;71
7017;2;La cour des premières près des casiers;Jeudi;Récréation du matin;39;52;88
7018;2;La cour des premières près des casiers;Jeudi;Récréation de l'après-midi;44;48;79
7019;2;La cour des premières près des casiers;Vendredi;Récréation du matin;41;55;72
7020;2;La cour des premières près des casiers;Vendredi;Récréation de l'après-midi;49;53;67
7021;3;"L'espace ""fumeurs""";Lundi;Récréation du matin;47;66;83
7022;3;"L'espace ""fumeurs""";Lundi;Récréation de l'après-midi;43;70;105
7023;3;"L'espace ""fumeurs""";Mardi;Récréation du matin;44;64;80
7024;3;"L'espace ""fumeurs""";Mardi;Récréation de l'après-midi;46;66;81
7025;3;"L'espace ""fumeurs""";Mercredi;Récréation du matin;51;69;85
7026;3;"L'espace ""fumeurs""";Mercredi;Récréation de l'après-midi;53;68;84
7027;3;"L'espace ""fumeurs""";Jeudi;Récréation du matin;56;70;91
7028;3;"L'espace ""fumeurs""";Jeudi;Récréation de l'après-midi;49;64;109
7029;3;"L'espace ""fumeurs""";Vendredi;Récréation du matin;55;69;97
7030;3;"L'espace ""fumeurs""";Vendredi;Récréation de l'après-midi;50;68;94
7031;4;Les toilettes des premières;Lundi;Récréation du matin;65;92;112
7032;4;Les toilettes des premières;Lundi;Récréation de l'après-midi;67;85;100
7033;4;Les toilettes des premières;Mardi;Récréation du matin;32;63;79
7034;4;Les toilettes des premières;Mardi;Récréation de l'après-midi;39;60;77
7035;4;Les toilettes des premières;Mercredi;Récréation du matin;34;50;90
7036;4;Les toilettes des premières;Mercredi;Récréation de l'après-midi;40;64;91
7037;4;Les toilettes des premières;Jeudi;Récréation du matin;29;58;87
7038;4;Les toilettes des premières;Jeudi;Récréation de l'après-midi;52;62;77
7039;4;Les toilettes des premières;Vendredi;Récréation du matin;50;65;92
7040;4;Les toilettes des premières;Vendredi;Récréation de l'après-midi;53;67;105
7041;5;Un couloir du batiment 1ères;Lundi;Lors de la sonnerie ;36;52;76
7042;5;Un couloir du batiment 1ères;Lundi;Après la  sonnerie ;50;61;81
7043;5;Un couloir du batiment 1ères;Mardi;Lors de la sonnerie ;30;43;75
7044;5;Un couloir du batiment 1ères;Mardi;Après la  sonnerie ;52;63;95
7045;5;Un couloir du batiment 1ères;Mercredi;Lors de la sonnerie ;22;41;76
