Id;N° du binôme;Lieu;Jour;Conditions ;Valeur minimale;Valeur moyenne;Valeur maximale
10001;1;La cour des premières près des arbres;Lundi;Récréation du matin;80;91;127
10002;1;La cour des premières près des arbres;Lundi;Récréation de l'après-midi;46;57;77
10003;1;La cour des premières près des arbres;Mardi;Récréation du matin;42;56;74
10004;1;La cour des premières près des arbres;Mardi;Récréation de l'après-midi;52;63;83
10005;1;La cour des premières près des arbres;Mercredi;Récréation du matin;71;83;100
10006;1;La cour des premières près des arbres;Mercredi;Récréation de l'après-midi;47;58;78
10007;1;La cour des premières près des arbres;Jeudi;Récréation du matin;75;89;107
10008;1;La cour des premières près des arbres;Jeudi;Récréation de l'après-midi;51;62;82
10009;1;La cour des premières près des arbres;Vendredi;Récréation du matin;42;53;74
10010;1;La cour des premières près des arbres;Vendredi;Récréation de l'après-midi;59;70;90
10011;2;La cour des premières près des casiers;Mardi;Récréation du matin;30;45;67
10012;2;La cour des premières près des casiers;Mardi;Récréation de l'après-midi;39;50;71
10013;2;La cour des premières près des casiers;Mercredi;Récréation du matin;37;49;69
10014;2;La cour des premières près des casiers;Mercredi;pause méridienne;42;54;77
10015;2;La cour des premières près des casiers;Mercredi;Récréation de l'après-midi;40;52;70
10016;2;La cour des premières près des casiers;Jeudi;Récréation du matin;39;52;67
10017;2;La cour des premières près des casiers;Jeudi;Récréation de l'après-midi;42;50;69
10018;2;La cour des premières près des casiers;Vendredi;Récréation du matin;36;49;63
10019;2;La cour des premières près des casiers;Vendredi;pause méridienne;44;55;76
10020;2;La cour des premières près des casiers;Vendredi;Récréation de l'après-midi;48;59;77
10021;3;;;;;;
10022;3;;;;;;
10023;3;;;;;;
10024;3;;;;;;
10025;3;;;;;;
10026;3;;;;;;
10027;3;;;;;;
10028;3;;;;;;
10029;3;;;;;;
10030;3;;;;;;
10031;4;Les toilettes des premières;Lundi;Récréation du matin;60;71;97
10032;4;Les toilettes des premières;Lundi;Récréation de l'après-midi;58;70;93
10033;4;Les toilettes des premières;Mardi;Récréation du matin;59;73;97
10034;4;Les toilettes des premières;Mardi;pause méridienne;45;69;107
10035;4;Les toilettes des premières;Mercredi;Récréation du matin;44;67;89
10036;4;Les toilettes des premières;Mercredi;Récréation de l'après-midi;60;71;97
10037;4;Les toilettes des premières;Jeudi;Récréation du matin;58;70;93
10038;4;Les toilettes des premières;Jeudi;Récréation de l'après-midi;59;73;97
10039;4;Les toilettes des premières;Vendredi;Récréation du matin;45;69;107
10040;4;Les toilettes des premières;Vendredi;pause méridienne;44;67;89
10041;5;Un couloir du batiment 1ères;Jeudi;Lors de la sonnerie ;78;88;115
