Id;N° du binôme;Lieu;Jour;Conditions ;Valeur minimale;Valeur moyenne;Valeur maximale
5001;1;La cour des premières près des arbres;Mercredi;Récréation du matin;46;59;83
5002;1;La cour des premières près des arbres;Mercredi;Récréation de l'après-midi;37;50;71
5003;1;La cour des premières près des arbres;Jeudi;Récréation du matin;40;63;84
5004;1;La cour des premières près des arbres;Jeudi;Récréation de l'après-midi;41;58;75
5005;1;La cour des premières près des arbres;Vendredi;Récréation du matin;51;71;90
5006;1;La cour des premières près des arbres;Vendredi;Récréation de l'après-midi;54;63;70
5007;1;La cour des premières près des arbres;Lundi;Récréation du matin;46;70;94
5008;1;La cour des premières près des arbres;Lundi;Récréation de l'après-midi;39;60;80
5009;1;La cour des premières près des arbres;Mardi;Récréation du matin;47;68;88
5010;1;La cour des premières près des arbres;Mardi;Récréation de l'après-midi;50;65;76
5011;2;La cour des premières près des casiers;Lundi;Récréation du matin;64;82;109
5012;2;La cour des premières près des casiers;Mardi;Récréation du matin;72;91;111
5013;2;La cour des premières près des casiers;Mercredi;Récréation du matin;56;84;120
5014;2;La cour des premières près des casiers;Jeudi;Récréation du matin;68;87;118
5015;2;La cour des premières près des casiers;Vendredi;Récréation du matin;64;90;130
5016;2;La cour des premières près des casiers;Lundi;Récréation de l'après-midi;57;80;108
5017;2;La cour des premières près des casiers;Mardi;Récréation de l'après-midi;67;94;120
5018;2;La cour des premières près des casiers;Mercredi;Récréation de l'après-midi;59;87;112
5019;2;La cour des premières près des casiers;Jeudi;Récréation de l'après-midi;75;82;117
5020;2;La cour des premières près des casiers;Vendredi;Récréation de l'après-midi;61;80;123
5021;3;;;;;;
5022;3;;;;;;
5023;3;;;;;;
5024;3;;;;;;
5025;3;;;;;;
5026;3;;;;;;
5027;3;;;;;;
5028;3;;;;;;
5029;3;;;;;;
5030;3;;;;;;
5031;4;Les toilettes des premières;Jeudi;Récréation du matin;33;47;75
5032;4;Les toilettes des premières;Jeudi;Récréation de l'après-midi;39;54;69
5033;4;Les toilettes des premières;Lundi;Récréation du matin;26;47;82
5034;4;Les toilettes des premières;Mardi;Récréation du matin;28;49;71
5035;4;Les toilettes des premières;Mardi;Récréation de l'après-midi;41;58;77
5036;4;Les toilettes des premières;Mercredi;Récréation du matin;36;51;72
5037;4;Les toilettes des premières;Mercredi;Récréation de l'après-midi;34;46;73
5038;4;Les toilettes des premières;Jeudi;Récréation du matin;29;44;68
5039;4;Les toilettes des premières;Jeudi;Récréation de l'après-midi;38;52;74
5040;4;Les toilettes des premières;Vendredi;Récréation du matin;34;49;71
5041;5;Un couloir du batiment 1ères;Lundi;Récréation du matin;38;60;89
5042;5;Un couloir du batiment 1ères;Lundi;Récréation de l'après-midi;50;64;80
5043;5;Un couloir du batiment 1ères;Mardi;Récréation du matin;54;67;82
5044;5;Un couloir du batiment 1ères;Mardi;Récréation de l'après-midi;36;57;86
5045;5;Un couloir du batiment 1ères;Mercredi;Récréation du matin;38;59;87
5046;5;Un couloir du batiment 1ères;Mercredi;Récréation de l'après-midi;53;66;85
5047;5;Un couloir du batiment 1ères;Jeudi;Récréation du matin;46;63;102
5048;5;Un couloir du batiment 1ères;Jeudi;Récréation de l'après-midi;32;57;85
5049;5;Un couloir du batiment 1ères;Vendredi;Récréation du matin;51;73;105
5050;5;Un couloir du batiment 1ères;Vendredi;Récréation de l'après-midi;46;74;106
5051;6;Un couloir du batiment 2ndes;Lundi;Récréation du matin;44;58;98
5052;6;Un couloir du batiment 2ndes;Lundi;Récréation du matin;45;58;68
5053;6;Un couloir du batiment 2ndes;Mardi;Récréation du matin;48;59;82
5054;6;Un couloir du batiment 2ndes;Mardi;Récréation de l'après-midi;40;56;84
5055;6;Un couloir du batiment 2ndes;Mercredi;pause méridienne;76;88;119
5056;6;Un couloir du batiment 2ndes;Jeudi;pause méridienne;51;60;71
5057;6;Un couloir du batiment 2ndes;Jeudi;Récréation de l'après-midi;48;61;89
5058;6;Un couloir du batiment 2ndes;Vendredi;Récréation du matin;51;61;88
